epoch,step,train_loss,val_loss
0,49,0.015769374126906818,
0,99,0.011603240176451663,
0,149,0.00882665856861128,
0,199,0.006380663840772105,
0,249,0.005876615452478884,
0,299,0.0050297882569767475,
0,349,0.005333847515309242,
0,399,0.004205333332282591,
0,449,0.00406502109299306,
0,499,0.003775520916283575,
0,549,0.004579343188637888,
0,599,0.003568789209325598,
0,649,0.0036306720056121914,
0,699,0.003142634764122533,
0,730,,0.0015867225178423652
1,749,0.003691048374573706,
1,799,0.0030412606768710866,
1,849,0.0026069373033773095,
1,899,0.002664343320933601,
1,949,0.002449985772476847,
1,999,0.0026329677067420433,
1,1049,0.002700310876063322,
1,1099,0.002610702615915386,
1,1149,0.0017292271231051353,
1,1199,0.0020388247604177065,
1,1249,0.001869456990136087,
1,1299,0.002355635052427695,
1,1349,0.0017312546012083004,
1,1399,0.0016542138741733156,
1,1449,0.0025065658500068575,
1,1461,,0.0009188279003233185
2,1499,0.0018000748793430776,
2,1549,0.0016506433312755918,
2,1599,0.001627398685810311,
2,1649,0.0021064336809979572,
2,1699,0.0015329139789604384,
2,1749,0.0015437252879809927,
2,1799,0.0015928744954375534,
2,1849,0.0015824114142593132,
2,1899,0.0016509575707193613,
2,1949,0.0016393650512192934,
2,1999,0.0018995800729449946,
2,2049,0.0014874562909589384,
2,2099,0.0013042523998926605,
2,2149,0.0014715018615603192,
2,2192,,0.0009209722843933321
3,2199,0.001612544794953586,
3,2249,0.0014307343173973822,
3,2299,0.001249698481946847,
3,2349,0.0012236765757000349,
3,2399,0.0012353648156902066,
3,2449,0.0012339373009328898,
3,2499,0.001120043476936753,
3,2549,0.0012810035711999948,
3,2599,0.0014204348766402204,
3,2649,0.0011453277372475987,
3,2699,0.001238008988011091,
3,2749,0.0011372171548715917,
3,2799,0.0012362414114811316,
3,2849,0.0011003959588693954,
3,2899,0.0012432650841376763,
3,2923,,0.0012066780781156354
4,2949,0.0010435657620611583,
4,2999,0.0010473262539558497,
4,3049,0.0014193155551507043,
4,3099,0.0011262155720276573,
4,3149,0.0011309074307950062,
4,3199,0.0009764881037358391,
4,3249,0.0010198839142451096,
4,3299,0.0011254023302700298,
4,3349,0.0010939778722843278,
4,3399,0.0013145411073495563,
4,3449,0.001044613271913867,
4,3499,0.0009230700752892276,
4,3549,0.000989335806008104,
4,3599,0.0011762833379177586,
4,3649,0.0008399801356344831,
4,3654,,0.0007703960941629273
5,3699,0.0008847375583156833,
5,3749,0.001021968229695288,
5,3799,0.0009359781597510692,
5,3849,0.0014645893108823985,
5,3899,0.0011147122704779945,
5,3949,0.0008319060754536615,
5,3999,0.0009199786604778909,
5,4049,0.001147340459098669,
5,4099,0.0010553052964565176,
5,4149,0.001027218217317132,
5,4199,0.0007588323147771651,
5,4249,0.0007477201401128429,
5,4299,0.0010958419869385415,
5,4349,0.0012299883995581394,
5,4385,,0.0004904954816815748
6,4399,0.00087126130189894,
6,4449,0.000984592472643502,
6,4499,0.0009005062335099729,
6,4549,0.0007555106232786223,
6,4599,0.0007801346105573666,
6,4649,0.0007013107976151876,
6,4699,0.0007435252653047584,
6,4749,0.0007174491942400305,
6,4799,0.0010423956174788335,
6,4849,0.0009203842872229277,
6,4899,0.0010979379878979074,
6,4949,0.0007234102574044173,
6,4999,0.0006815052926837894,
6,5049,0.000730321180401191,
6,5099,0.0007433115665086989,
6,5116,,0.0008672655268597565
7,5149,0.000741602905165532,
7,5199,0.0007901833267049356,
7,5249,0.0006612228640608588,
7,5299,0.0008330281409754727,
7,5349,0.0007257676339499702,
7,5399,0.0008918326879249627,
7,5449,0.0007222629397572049,
7,5499,0.0006149071838371748,
7,5549,0.0006791831614298097,
7,5599,0.000665448805052637,
7,5649,0.0006764755577069106,
7,5699,0.0007480053190925783,
7,5749,0.0006119420414533591,
7,5799,0.0009263090754165713,
7,5847,,0.0004091875839196641
8,5849,0.0006468347435251097,
8,5899,0.0007195439391500858,
8,5949,0.0009162617275708252,
8,5999,0.0006207276523487777,
8,6049,0.0005658857764807214,
